TransactionID,Transaction Date,Transaction Amount,Notes,Transaction Type,Entity,TransactionTypeID
116,2017-01-12,-2.52,-,POS Purchase           ,BURGER KING #3422        DARTM,27
117,2017-01-12,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
118,2017-01-13,-32.2,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
119,2017-01-13,655.35,-,Payroll Deposit        ,BKR Management Inc.          ,17
120,2017-01-16,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
121,2017-01-16,-44.01,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
122,2017-01-16,-9.73,-,POS Purchase           ,BURGER KING #3422        DARTM,27
123,2017-01-17,-6.73,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
124,2017-01-18,-42.89,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
125,2017-01-19,-17.67,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
126,2017-01-19,-120,-,ABM Withdrawal,NULL,NULL
127,2017-01-19,-31.09,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
128,2017-01-21,-11.68,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
129,2017-01-27,439.12,-,Payroll Deposit        ,BKR Management Inc.          ,17
130,2017-01-30,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
131,2017-01-30,-11.8,-,POS Purchase           ,PAPA GEORGIOS PIZZA      FREDE,27
132,2017-01-31,-12.95,-,Service Charge         ,MONTHLY FEES,9
133,2017-01-31,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
134,2017-02-02,-280,9,Cheque                 ,NULL,21
135,2017-02-02,-100,-,ABM Withdrawal,NULL,NULL
136,2017-02-04,100,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
137,2017-02-04,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
138,2017-02-04,-56,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
139,2017-02-06,-40,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
140,2017-02-06,-5.1,-,POS Purchase           ,IRVING/FLORENCEVILLE     FLORE,5
141,2017-02-07,-4.58,-,POS Purchase           ,BURGER KING #3422        DARTM,27
142,2017-02-09,-6.87,-,POS Purchase           ,BURGER KING #3422        DARTM,27
143,2017-02-10,-11.25,-,POS Purchase           ,PETRO-CANADA             LAKE ,5
144,2017-02-10,343.98,-,Payroll Deposit        ,BKR Management Inc.          ,17
145,2017-02-10,-32.01,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
146,2017-02-13,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
147,2017-02-13,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
148,2017-02-14,-6.75,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
149,2017-02-14,-4.99,-,POS Purchase           ,BURGER KING #3422        DARTM,27
150,2017-02-16,-50,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
151,2017-02-16,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
152,2017-02-18,-100,-,ABM Withdrawal,NULL,NULL
153,2017-02-18,-32.06,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
154,2017-02-24,422.1,-,Payroll Deposit        ,BKR Management Inc.          ,17
155,2017-02-27,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
156,2017-02-28,-50,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
157,2017-02-28,250,-,DEPOSIT                ,MB-EMAIL MONEY TRF,NULL
158,2017-02-28,-1,-,Service Charge         ,MB-EMAIL MONEY TRF,9
159,2017-02-28,-20.06,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
160,2017-02-28,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
161,2017-02-28,-12.95,-,Service Charge         ,MONTHLY FEES,9
162,2017-03-02,-280,10,Cheque                 ,NULL,21
163,2017-03-03,-140,-,WITHDRAWAL             ,NULL,NULL
164,2017-03-03,200,-,DEPOSIT                ,NULL,NULL
165,2017-03-03,-27.59,-,POS Purchase           ,CINEPLEX #6111           FREDE,NULL
166,2017-03-09,-23.96,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
167,2017-03-10,457.05,-,Payroll Deposit        ,BKR Management Inc.          ,17
168,2017-03-13,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
169,2017-03-13,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
170,2017-03-14,-50,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
171,2017-03-14,-6.95,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
172,2017-03-14,-100,-,ABM Withdrawal,NULL,NULL
173,2017-03-14,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
174,2017-03-14,-45,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
175,2017-03-14,0,-,Service Charge         ,PC-FREE EMAIL MONEY TRF,9
176,2017-03-17,-22.97,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
177,2017-03-18,-7.16,-,POS Purchase           ,BURGER KING #3422        DARTM,27
178,2017-03-18,-5.91,-,POS Purchase           ,BURGER KING #3422        DARTM,27
179,2017-03-20,-4.09,-,POS Purchase           ,UNIVERSITY OF NEW BR     FREDE,NULL
180,2017-03-20,-139.14,-,POS Purchase           ,CLEVE'S SPORTING GOODS   DARTM,NULL
181,2017-03-20,-30,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
182,2017-03-21,-2.29,-,POS Purchase           ,BURGER KING #3422        DARTM,27
183,2017-03-24,593.3,-,Payroll Deposit        ,BKR Management Inc.          ,17
184,2017-03-25,-71.51,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
185,2017-03-27,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
186,2017-03-29,-6.66,-,POS Purchase           ,MCDONALD'S #1808         FREDE,27
187,2017-03-29,-50.53,-,POS Purchase           ,H&R BLOCK WOODSTOCK      WOODS,NULL
188,2017-03-30,-120,-,ABM Withdrawal,NULL,NULL
189,2017-03-31,271.86,-,Payroll Deposit        ,BKR Management Inc.          ,17
190,2017-03-31,-99,-,WITHDRAWAL             ,PC-EMAIL MONEY TRF,NULL
191,2017-03-31,-1,-,Service Charge         ,PC-EMAIL MONEY TRF,9
192,2017-03-31,767,-,DEPOSIT                ,NULL,NULL
193,2017-03-31,-6.91,-,POS Purchase           ,MAIL N MART              FREDE,NULL
194,2017-03-31,-13.95,-,Service Charge         ,MONTHLY FEES,9
195,2017-03-31,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
196,2017-03-31,-35.19,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
197,2017-04-01,-4.36,-,POS Purchase           ,BURGER KING #3422        DARTM,27
198,2017-04-01,-54.31,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
199,2017-04-04,-10.11,-,POS Purchase           ,BURGER KING #3422        DARTM,27
200,2017-04-04,-280,11,Cheque                 ,NULL,21
201,2017-04-05,144,-,Provincial Payment     ,CANADA                       ,18
202,2017-04-06,-6.54,-,POS Purchase           ,BURGER KING #3422        DARTM,27
203,2017-04-06,-1.94,-,POS Purchase           ,BURGER KING #3422        DARTM,27
204,2017-04-07,-59.22,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
205,2017-04-08,-4.88,-,POS Purchase           ,BURGER KING #3422        DARTM,27
206,2017-04-10,-42.55,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
207,2017-04-10,-13.2,-,POS Purchase           ,CELLAR PUB (CA100)       FREDE,27
208,2017-04-10,-4.93,-,POS Purchase           ,BURGER KING #3422        DARTM,27
209,2017-04-10,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CLUBS       ,28
210,2017-04-11,-51.58,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
211,2017-04-11,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
212,2017-04-11,-62,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
213,2017-04-12,-9.99,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
214,2017-04-13,635.39,-,Payroll Deposit        ,BKR Management Inc.          ,17
215,2017-04-13,-3.04,-,POS Purchase           ,BURGER KING #3422        DARTM,27
216,2017-04-13,-6.88,-,Miscellaneous Payment  ,PAYPAL                       ,25
217,2017-04-15,-138.24,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
218,2017-04-17,-120,-,ABM Withdrawal,NULL,NULL
219,2017-04-17,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
220,2017-04-17,-55,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
221,2017-04-17,-6.43,-,POS Purchase           ,BURGER KING #3422        DARTM,27
222,2017-04-18,-126.7,-,POS Purchase           ,THINGS                   FREDE,NULL
223,2017-04-20,-15.87,-,POS Purchase           ,PAPA GEORGIOS PIZZA      FREDE,27
224,2017-04-22,-3.61,-,POS Purchase           ,BURGER KING #3422        DARTM,27
225,2017-04-24,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
226,2017-04-24,-70.78,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
227,2017-04-27,-9.07,-,POS Purchase           ,BURGER KING #3422        DARTM,27
228,2017-04-27,-100,-,ABM Withdrawal,NULL,NULL
229,2017-04-27,-120,-,ABM Withdrawal,NULL,NULL
230,2017-04-28,772.56,-,Payroll Deposit        ,BKR Management Inc.          ,17
231,2017-04-28,-52.29,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
232,2017-04-28,-13.47,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
233,2017-04-29,-13.95,-,Service Charge         ,MONTHLY FEES,9
234,2017-05-01,-25,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
235,2017-05-01,-3.84,-,POS Purchase           ,BURGER KING #3422        DARTM,27
236,2017-05-01,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
237,2017-05-02,-290,12,Cheque                 ,NULL,21
238,2017-05-02,-19.62,-,POS Purchase           ,CINEPLEX #6111           FREDE,NULL
239,2017-05-03,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
240,2017-05-03,-59,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
241,2017-05-04,607.04,-,Tax Refund             ,CANADA                       ,18
242,2017-05-04,-5.69,-,POS Purchase           ,BURGER KING #3422        DARTM,27
243,2017-05-05,-58.84,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
244,2017-05-05,-68.15,-,POS Purchase           ,GIANT TIGER #175         FREDE,NULL
245,2017-05-06,-68.98,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
246,2017-05-08,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
247,2017-05-08,-5.8,-,POS Purchase           ,BURGER KING #3422        DARTM,27
248,2017-05-08,-50,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
249,2017-05-09,-100,-,ABM Withdrawal,NULL,NULL
250,2017-05-09,-5.06,-,POS Purchase           ,BURGER KING #3422        DARTM,27
251,2017-05-11,-3.44,-,POS Purchase           ,BURGER KING #3422        DARTM,27
252,2017-05-11,-9.99,-,Miscellaneous Payment  ,PAYPAL                       ,25
253,2017-05-12,666.13,-,Payroll Deposit        ,BKR Management Inc.          ,17
254,2017-05-15,-7.07,-,Miscellaneous Payment  ,PAYPAL                       ,25
255,2017-05-15,-60,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
256,2017-05-15,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
257,2017-05-15,-6.95,-,POS Purchase           ,BURGER KING #3422        DARTM,27
258,2017-05-16,-65.54,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
259,2017-05-16,-31.73,-,POS Purchase           ,GIANT TIGER #175         FREDE,NULL
260,2017-05-18,-8.05,-,POS Purchase           ,DOLLARAMA # 337          FREDE,NULL
261,2017-05-20,-2.75,-,POS Purchase           ,BURGER KING #3422        DARTM,27
262,2017-05-20,-6.89,-,POS Purchase           ,LITTLE CAESER            FREDE,27
263,2017-05-23,-100,-,ABM Withdrawal,NULL,NULL
264,2017-05-23,-5.23,-,POS Purchase           ,BURGER KING #3422        DARTM,27
265,2017-05-23,-7.52,-,POS Purchase           ,BURGER KING #3422        DARTM,27
266,2017-05-23,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
267,2017-05-24,-4.08,-,POS Purchase           ,BURGER KING #3422        DARTM,27
268,2017-05-24,-28.99,-,POS Purchase           ,HANWELL ROAD IRVING #1   HANWE,5
269,2017-05-26,642.4,-,Payroll Deposit        ,BKR Management Inc.          ,17
270,2017-05-26,-121.86,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
271,2017-05-30,-42.99,-,POS Purchase           ,ALCOOL NB LIQUOR  #045   FREDE,23
272,2017-05-31,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
273,2017-05-31,-13.95,-,Service Charge         ,MONTHLY FEES,9
274,2017-05-31,-45.31,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
275,2017-06-01,-60,-,ABM Withdrawal,NULL,NULL
276,2017-06-01,-24.99,-,POS Purchase           ,ALCOOL NB LIQUOR  #060   FREDE,23
277,2017-06-02,-290,13,Cheque                 ,NULL,21
278,2017-06-05,-2.88,-,POS Purchase           ,BURGER KING #3422        DARTM,27
279,2017-06-05,-11.48,-,POS Purchase           ,MANCHU WOK RESTAURANT    FREDE,27
280,2017-06-05,-32.22,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
281,2017-06-05,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
282,2017-06-07,-40.01,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
283,2017-06-08,-60,-,ABM Withdrawal,NULL,NULL
284,2017-06-09,669.02,-,Payroll Deposit        ,BKR Management Inc.          ,17
285,2017-06-12,-3.67,-,POS Purchase           ,BURGER KING #3422        DARTM,27
286,2017-06-12,-8.44,-,POS Purchase           ,BURGER KING #3422        DARTM,27
287,2017-06-13,-6.95,-,Miscellaneous Payment  ,PAYPAL                       ,25
288,2017-06-13,-9.99,-,Miscellaneous Payment  ,PAYPAL                       ,25
289,2017-06-14,-50,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
290,2017-06-14,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
291,2017-06-14,-45,-,WITHDRAWAL             ,MB-EMAIL MONEY TRF,NULL
292,2017-06-14,0,-,Service Charge         ,MB-FREE EMAIL MONEY TRF,9
293,2017-06-14,-30.69,-,POS Purchase           ,SOBEYS #535        QPS   FREDE,8
294,2017-06-14,-100,24,Cheque                 ,NULL,21
295,2017-06-16,-11.26,-,POS Purchase           ,MANCHU WOK RESTAURANT    FREDE,27
296,2017-06-16,-5.85,-,POS Purchase           ,MRS FIELDS/PRETZLERMAK   FREDE,27
297,2017-06-19,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
298,2017-06-19,-50.02,-,POS Purchase           ,CIRCLE K / IRVING  QPS   FREDE,5
299,2017-06-21,-34.14,-,Miscellaneous Payment  ,PAYPAL PTE LTD               ,25
300,2017-06-22,87,-,ABM Deposit,NULL,NULL
301,2017-06-23,587.73,-,Payroll Deposit        ,BKR Management Inc.          ,17
302,2017-06-26,-2.81,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
303,2017-06-27,-38.52,-,POS Purchase           ,WAL-MART #3032           FREDE,NULL
304,2017-06-27,-14.74,-,POS Purchase           ,FPOS PITA PIT            FREDE,27
305,2017-06-29,-9.3,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
306,2017-06-29,-100,-,ABM Withdrawal,NULL,NULL
307,2017-06-29,-45.96,-,POS Purchase           ,FPOS HANWELL ROAD IRVING HANWE,5
308,2017-06-30,-13.95,-,Service Charge         ,MONTHLY FEES,9
309,2017-06-30,-369,-,Miscellaneous Payment  ,NSLSC                        ,29
310,2017-07-04,-6.31,-,POS Purchase           ,BURGER KING #3422        DARTM,27
311,2017-07-04,-3.21,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
312,2017-07-04,-3.73,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
313,2017-07-04,-70.54,-,POS Purchase           ,FPOS SOBEYS #535        QFREDE,8
314,2017-07-04,-23.58,-,Miscellaneous Payment  ,GOODLIFE FITNESS CENTRES INC ,28
315,2017-07-04,-4.36,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
316,2017-07-05,166.64,-,Provincial Payment     ,CANADA                       ,18
317,2017-07-05,-290,14,Cheque                 ,NULL,21
318,2017-07-05,-40.25,-,Miscellaneous Payment  ,PAYPAL                       ,25
319,2017-07-05,-46,-,Miscellaneous Payment  ,PAYPAL                       ,25
320,2017-07-06,-1.15,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
321,2017-07-07,-23,-,Miscellaneous Payment  ,PAYPAL                       ,25
322,2017-07-07,-5.74,-,Miscellaneous Payment  ,PAYPAL                       ,25
323,2017-07-07,545.94,-,Payroll Deposit        ,BKR Management Inc.          ,17
324,2017-07-10,-1.84,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
325,2017-07-10,-6.2,-,POS Purchase           ,FPOS BURGER KING #3422   DARTM,27
