QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Courser of Kruphix; Clash Pack; Foil; 3; 1GG; 1; 4; 2; S; 7.1928; Enchantment Creature - Centaur; "Play with the top card of your library revealed.
You may play the top card of your library if it's a land card.
Whenever a land enters the battlefield under your control, you gain 1 life."; "• While playing with the top card of your library revealed, if you draw multiple cards, reveal each one before you draw it. If you put multiple cards on top of your library at once, reveal only the one new top card.
• If the top card of your library changes while you're casting a spell or activating an ability, you don't reveal the new top card until you finish casting that spell or activating that ability.
• Courser of Kruphix doesn't change when you can play lands. You can do so only during your main phase when you have priority and the stack is empty.
• Playing a land from the top of your library counts as your land play for the turn. Once you play a land during your turn, you won't be able to play an additional land from the top of your library unless another effect (such as that of Azusa, Lost but Seeking) allows you to."
1x; Thran Dynamo; Commander 2014; ; 4; 4; 1; 0; 0; U; 7.15284; Artifact; "{T}: Add {C}{C}{C}."; ""
1x; Avenger of Zendikar; Duel Decks: Zendikar vs. Eldrazi; ; 7; 5GG; 1; 5; 5; M; 7.09956; Creature - Elemental; "When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.
Landfall  Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control."; "• The landfall ability triggers whenever a land enters the battlefield under your control for any reason. It triggers whenever you play a land, as well as whenever a spell or ability (such as Rampant Growth) causes you to put a land onto the battlefield under your control. It will even trigger when a spell or ability causes another player to put a land onto the battlefield under your control (as can happen with Yavimaya Dryad's ability, for example).
• When a land enters the battlefield under your control, each landfall ability of the permanents you control will trigger. You can put them on the stack in any order. The last ability you put on the stack will be the first one that resolves."
1x; Avenger of Zendikar; Commander 2013 Edition; ; 7; 5GG; 1; 5; 5; M; 6.9264; Creature - Elemental; "When Avenger of Zendikar enters the battlefield, create a 0/1 green Plant creature token for each land you control.
Landfall  Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control."; "• The landfall ability triggers whenever a land enters the battlefield under your control for any reason. It triggers whenever you play a land, as well as whenever a spell or ability (such as Rampant Growth) causes you to put a land onto the battlefield under your control. It will even trigger when a spell or ability causes another player to put a land onto the battlefield under your control (as can happen with Yavimaya Dryad's ability, for example).
• When a land enters the battlefield under your control, each landfall ability of the permanents you control will trigger. You can put them on the stack in any order. The last ability you put on the stack will be the first one that resolves."
1x; Solemn Simulacrum; Commander 2014; ; 4; 4; 1; 2; 2; R; 6.66; Artifact Creature  Golem; "When Solemn Simulacrum enters the battlefield, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.
When Solemn Simulacrum dies, you may draw a card."; ""
1x; Rite of Replication; Commander 2014; ; 4; 2UU; 1; 0; 0; R; 6.63336; Sorcery; "Kicker {5} (You may pay an additional {5} as you cast this spell.)
Create a token that's a copy of target creature. If this spell was kicked, create five of those tokens instead."; "• If the targeted creature is an illegal target by the time Rite of Replication resolves, the entire spell doesn't resolve. You won't get any tokens.
• As the token or tokens are created, they check the printed values of the creature they're copying - or, if that creature is itself a token, the original characteristics of that token as stated by the effect that put it onto the battlefield - as well as any copy effects that have been applied to it. It won't copy counters on the creature, nor will it copy other effects that have changed the creature's power, toughness, types, color, or so on.
• The tokens see each other enter the battlefield. If they have a triggered ability that triggers when a creature enters the battlefield, they'll all trigger for one another."
1x; Crypt Ghast; Commander 2014; ; 4; 3B; 1; 2; 2; R; 6.42024; Creature - Spirit; "Extort (Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)
Whenever you tap a Swamp for mana, add an additional {B}."; "• You may pay {WB} a maximum of one time for each extort triggered ability. You decide whether to pay when the ability resolves.
• The amount of life you gain from extort is based on the total amount of life lost, not necessarily the number of opponents you have. For example, if your opponent's life total can't change (perhaps because that player controls Platinum Emperion), you won't gain any life.
• The extort ability doesn't target any player."
1x; Angel of the Dire Hour; Commander 2014; ; 7; 5WW; 1; 4; 5; R; 6.3936; Creature - Angel; "Flash
Flying
When Angel of the Dire Hour enters the battlefield, if you cast it from your hand, exile all attacking creatures."; "• Creatures that were declared as attackers or entered the battlefield attacking continue to be attacking creatures until the combat phase ends. It's possible to exile all attacking creatures after they've dealt combat damage if you cast Angel of the Dire Hour during the combat damage step or end of combat step.
• If you cast Angel of the Dire Hour outside of combat, its triggered ability will trigger but have no effect.
• If a spell or ability instructs you to put Angel of the Dire Hour onto the battlefield from your hand, that means you won't have cast it, so its triggered ability won't trigger."
1x; Hero's Downfall; Clash Pack; Foil; 3; 1BB; 1; 0; 0; S; 6.1272; Instant; "Destroy target creature or planeswalker."; ""
2x; Breaching Leviathan; Commander 2014; ; 9; 7UU; 2; 9; 9; R; 12.2278; Creature - Leviathan; "When Breaching Leviathan enters the battlefield, if you cast it from your hand, tap all nonblue creatures. Those creatures don't untap during their controllers' next untap steps."; "• The triggered ability affects all nonblue creatures, including those you control.
• The triggered ability tracks the creatures, but not their controllers. If any of the creatures changes controllers before its original controller's next untap step has come around, that creature won't untap during its new controller's next untap step."
1x; Whip of Erebos; Clash Pack; Foil; 4; 2BB; 1; 0; 0; S; 5.994; Legendary Enchantment Artifact; "Creatures you control have lifelink.
{2}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step. If it would leave the battlefield, exile it instead of putting it anywhere else. Activate this ability only any time you could cast a sorcery."; "• At the beginning of the next end step, the creature returned to the battlefield with Whip of Erebos is exiled. This is a delayed triggered ability. If the ability is countered, the creature will stay on the battlefield and the delayed trigger won't trigger again. However, the replacement effect will still exile the creature when it eventually leaves the battlefield.
• Whip of Erebos grants haste to the creature that's returned to the battlefield. However, neither of the exile abilities is granted to that creature. If that creature loses all its abilities, it will still be exiled at the beginning of the end step, and if it would leave the battlefield, it is still exiled instead.
• If a creature returned to the battlefield with Whip of Erebos would leave the battlefield for any reason, it's exiled instead. However, if that creature is already being exiled, then the replacement effect won't apply. If the spell or ability that exiles it later returns it to the battlefield (as Chained to the Rocks might, for example), the creature card will return to the battlefield as a new object with no relation to its previous existence. The effects from Whip of Erebos will no longer apply to it.
• The exiled creature is never put into the graveyard. Any abilities the creature has that trigger when it dies won't trigger."
1x; Priest of Titania; Commander 2014; ; 2; 1G; 1; 1; 1; C; 5.9274; Creature - Elf Druid; "{T}: Add {G} for each Elf on the battlefield."; "• Since it is an Elf, it counts itself."
3x; Sol Ring; Commander 2014; ; 1; 1; 3; 0; 0; U; 17.5424; Artifact; "{T}: Add {C}{C}."; ""
1x; Overseer of the Damned; Commander 2014; ; 7; 5BB; 1; 5; 5; R; 5.78088; Creature - Demon; "Flying
When Overseer of the Damned enters the battlefield, you may destroy target creature.
Whenever a nontoken creature an opponent controls dies, create a tapped 2/2 black Zombie creature token."; ""
1x; Crypt Ghast; Gatecrash; ; 4; 3B; 1; 2; 2; R; 5.64768; Creature - Spirit; "Extort (Whenever you cast a spell, you may pay {WB}. If you do, each opponent loses 1 life and you gain that much life.)
Whenever you tap a Swamp for mana, add an additional {B}."; "• You may pay {WB} a maximum of one time for each extort triggered ability. You decide whether to pay when the ability resolves.
• The amount of life you gain from extort is based on the total amount of life lost, not necessarily the number of opponents you have. For example, if your opponent's life total can't change (perhaps because that player controls Platinum Emperion), you won't gain any life.
• The extort ability doesn't target any player."
2x; Sol Ring; Commander 2013 Edition; ; 1; 1; 2; 0; 0; U; 11.2954; Artifact; "{T}: Add {C}{C}."; ""
1x; The Great Aurora; Magic Origins; Foil; 9; 6GGG; 1; 0; 0; M; 5.58108; Sorcery; "Each player shuffles all cards from their hand and all permanents they own into their library, then draws that many cards. Each player may put any number of land cards from their hand onto the battlefield. Exile The Great Aurora."; "• The number of cards you draw is equal to the number of permanents on the battlefield that you shuffle into your library plus the number of cards from your hand that you shuffle into your library.
• A token is owned by the player under whose control it entered the battlefield. Tokens shuffled into a library count toward the number of cards drawn, though they cease to exist upon becoming part of a library. Regardless of what you're using to represent tokens, you won't shuffle that physical object into your library.
• If a player is required to draw more cards than their library contains, that player loses the game. If all players lose the game this way, the game is a draw.
• As The Great Aurora resolves, first you choose any number of land cards in your hand to put onto the battlefield, and then each other player in turn order does the same. The lands enter the battlefield simultaneously."
1x; Flesh Carver; Commander 2014; ; 3; 2B; 1; 2; 2; R; 5.42124; Creature - Human Wizard; "Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
{1}{B}, Sacrifice another creature: Put two +1/+1 counters on Flesh Carver.
When Flesh Carver dies, create an X/X black Horror creature token, where X is Flesh Carver's power."; "• Use Flesh Carver's power when it died (including any +1/+1 counters it had) to determine the value of X."
1x; Shadowborn Apostle; Magic 2014 Core Set; ; 1; B; 1; 1; 1; C; 5.328; Creature - Human Cleric; "A deck can have any number of cards named Shadowborn Apostle.
{B}, Sacrifice six creatures named Shadowborn Apostle: Search your library for a Demon creature card and put it onto the battlefield. Then shuffle your library."; "• Shadowborn Apostle's first ability lets you ignore only the four-of rule. It doesn't let you ignore format legality.
• You sacrifice the six creatures when you activate the ability. You can't respond to that ability by activating the ability of one of the other Shadowborn Apostles you just sacrificed.
• You don't have to sacrifice the Shadowborn Apostle whose ability you activated. It can be six other Shadowborn Apostles."
1x; Temple of Enlightenment; Born of the Gods; ; 0; ; 1; 0; 0; R; 5.31468; Land; "Temple of Enlightenment enters the battlefield tapped.
When Temple of Enlightenment enters the battlefield, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
{T}: Add {W} or {U}."; "• When you scry, you may put all the cards you look at back on top of your library, you may put all of those cards on the bottom of your library, or you may put some of those cards on top and the rest of them on the bottom.
• You choose how to order cards returned to your library after scrying no matter where you put them.
• You perform the actions stated on a card in sequence. For some spells and abilities, that means you'll scry last. For others, that means you'll scry and then perform other actions.
• Scry appears on some spells and abilities with one or more targets. If all of the spell or ability's targets are illegal when it tries to resolve, it won't resolve and none of its effects will happen. You won't scry."
1x; Domineering Will; Commander 2014; ; 4; 3U; 1; 0; 0; R; 5.30136; Instant; "Target player gains control of up to three target nonattacking creatures until end of turn. Untap those creatures. They block this turn if able."; "• The controller of the creatures still chooses which attacking creature each of the three target creatures blocks.
• Each of those creatures blocks only if it's able to do so as the declare blockers step begins. If, at that time, one of the creatures is tapped, is affected by a spell or ability that says it can't block, or no creatures are attacking that creature's controller or a planeswalker controlled by that player, then it doesn't block. If there's a cost associated with having the creature block, the player isn't forced to pay that cost, so it doesn't block in that case either.
• Notably, Domineering Will doesn't give any of the target creatures haste. Unless they have haste due to some other means, they won't be able to attack that turn."
1x; Black Sun's Zenith; Commander 2014; ; 2; XBB; 1; 0; 0; R; 5.27472; Sorcery; "Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library."; "• If this spell doesn't resolve, none of its effects occur. In particular, it will go to the graveyard rather than to its owner's library."
1x; Ezuri, Renegade Leader; Commander 2014; ; 3; 1GG; 1; 2; 2; R; 5.2614; Legendary Creature - Elf Warrior; "{G}: Regenerate another target Elf.
{2}{G}{G}{G}: Elf creatures you control get +3/+3 and gain trample until end of turn."; "• Ezuri's first ability can't affect itself, but its second ability does.
• Only Elf creatures you control when the last ability resolves will get +3/+3 and gain trample until end of turn. Non-Elf creatures that become Elves or Elf creatures that enter the battlefield under your control later in the turn won't get the bonuses."
1x; Krenko, Mob Boss; Duel Decks: Speed vs. Cunning; ; 4; 2RR; 1; 3; 3; R; 5.22144; Legendary Creature - Goblin Warrior; "{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control."; "• The ability counts each Goblin you control, including Krenko itself, not just the tokens it creates."
1x; Nightmare; Revised Edition; ; 6; 5B; 1; 0; 0; R; 5.14152; Creature - Nightmare Horse; "Flying (This creature can't be blocked except by creatures with flying or reach.)
Nightmare's power and toughness are each equal to the number of Swamps you control."; "• If you control 0 swamps, then the Nightmare has 0 toughness and will be put into its owner's graveyard as a state-based action right before the next player gains priority.
• Nightmare's power and toughness changes as the number of Swamps you control changes.
• The ability that defines Nightmare's power and toughness works everywhere, not just on the battlefield.
• Nightmare's ability counts all lands you control with the subtype Swamp, not just ones named Swamp."
1x; Krenko, Mob Boss; Magic 2013; ; 4; 2RR; 1; 3; 3; R; 5.1282; Legendary Creature - Goblin Warrior; "{T}: Create X 1/1 red Goblin creature tokens, where X is the number of Goblins you control."; "• The ability counts each Goblin you control, including Krenko itself, not just the tokens it creates."
1x; Stormsurge Kraken; Commander 2014; ; 5; 3UU; 1; 5; 5; R; 5.0616; Creature - Kraken; "Hexproof
Lieutenant - As long as you control your commander, Stormsurge Kraken gets +2/+2 and has "Whenever Stormsurge Kraken becomes blocked, you may draw two cards.""; "• Lieutenant abilities apply only if your commander is on the battlefield and under your control.
• Lieutenant abilities refer only to whether you control your commander, not any other player's commander.
• If you gain control of a creature with a lieutenant ability owned by another player, that ability will check to see if you control your commander and will apply if you do. It won't check whether its owner controls their commander.
• If you lose control of your commander, lieutenant abilities of creatures you control will immediately stop applying. If this causes a creature's toughness to become less than or equal to the amount of damage marked on it, the creature will be destroyed.
• If a triggered ability granted by a lieutenant ability triggers, and in response to that trigger you lose control of your commander (causing the lieutenant to lose that ability), that triggered ability will still resolve."
1x; Sun Titan; Commander 2014; ; 6; 4WW; 1; 6; 6; M; 4.995; Creature - Giant; "Vigilance
Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield."; "• A permanent card is an artifact, creature, enchantment, land, or planeswalker card.
• The converted mana cost of a card in your graveyard is determined solely by the mana symbols printed in its upper right corner. The converted mana cost is the total amount of mana in that cost, regardless of color. For example, a card with mana cost {3}{U}{U} has converted mana cost 5.
• If the mana cost of a card in your graveyard includes {X}, X is considered to be 0.
• If a card in your graveyard has no mana symbols in its upper right corner (because it's a land card, for example), its converted mana cost is 0."
1x; True Conviction; Commander 2014; ; 6; 3WWW; 1; 0; 0; R; 4.98168; Enchantment; "Creatures you control have double strike and lifelink."; ""
1x; Beastmaster Ascension; Commander 2014; ; 3; 2G; 1; 0; 0; R; 4.91508; Enchantment; "Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.
As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5."; "• If you attack with multiple creatures, Beastmaster Ascension's first ability triggers multiple times."
1x; Joraga Warcaller; Commander 2014; ; 1; G; 1; 1; 1; R; 4.90176; Creature - Elf Warrior; "Multikicker {1}{G} (You may pay an additional {1}{G} any number of times as you cast this spell.)
Joraga Warcaller enters the battlefield with a +1/+1 counter on it for each time it was kicked.
Other Elf creatures you control get +1/+1 for each +1/+1 counter on Joraga Warcaller."; "• The last ability counts the total number of +1/+1 counters on Joraga Warcaller, not just the ones placed on it as a result of its enters-the-battlefield ability."
