Transaction Date, Transaction Amount, Notes, Transaction Type, Entity
8/16/2021,-57.48,-,"POS Purchase","OPOS AMZN Mktp CA        WWW.AMAZON.ONCA"
8/16/2021,-45.17,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
8/16/2021,-12.27,-,"POS Purchase","FPOS WENDY'S RESTAURANT QFREDERICTONNBCA"
8/13/2021,-200.00,-,"POS Purchase","CNB #016                 FREDERICTONNBCA"
8/13/2021,-1.83,-,"POS Purchase","FPOS TIM HORTONS #2598   WOODSTOCK  NBCD"
8/13/2021,-55.17,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
8/12/2021,612.55,-,"Payroll Deposit","BWS MANUFACTURING LTD        "
8/11/2021,-27.79,-,"POS Purchase","FLORENCEVILLE IRVING     WESTFLORENNBCA"
8/6/2021,-74.72,-,"POS Purchase","OPOS Amazon.ca           AMAZON.CA  ONCA"
8/5/2021,612.55,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
8/4/2021,-37.25,-,"Miscellaneous Payment  ","PAYPAL                       "
8/4/2021,-44.70,-,"Miscellaneous Payment  ","PAYPAL                       "
8/4/2021,-11.48,-,"POS Purchase           ","FPOS DAIRY QUEEN #12176  FREDE"
8/4/2021,-12.17,-,"POS Purchase           ","FPOS A&W #7218           FREDE"
8/3/2021,-477.50,000000041,"Cheque                 ",""
8/2/2021,-609.77,-,"Miscellaneous Payment  ","NSLSC                        "
8/2/2021,-10.56,-,"POS Purchase           ","MCDONALD'S #5483         FREDE"
8/2/2021,-38.99,-,"POS Purchase           ","FPOS PETRO-CANADA        LAKE "
8/2/2021,-35.04,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
7/31/2021,-16.95,-,"Service Charge         ","MONTHLY FEES"
7/30/2021,-55.16,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
7/29/2021,612.55,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
7/28/2021,-12.64,-,"POS Purchase           ","OPOS AMZN Mktp CA        WWW.A"
7/27/2021,-93.57,-,"WITHDRAWAL             ","FREE INTERAC E-TRANSFER"
7/26/2021,-6.56,-,"Miscellaneous Payment  ","PAYPAL                       "
7/26/2021,-11.49,-,"POS Purchase           ","OPOS PrimeVideo.ca       www.a"
7/23/2021,-63.21,-,"POS Purchase           ","FPOS FLORENCEVILLE IRVINGWEST "
7/22/2021,612.55,-,"Payroll Deposit        ","BWS MANUFACTURING LTD        "
7/21/2021,-31.12,-,"Miscellaneous Payment  ","PAYPAL                       "
7/19/2021,-55.41,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
7/19/2021,-10.35,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE
7/19/2021,-12.75,-,POS Purchase           ,FPOS MARY BROWN'S 3500   FREDE
7/19/2021,-92.4,-,POS Purchase           ,FPOS WALMART STORE #3032 FREDE
7/17/2021,-9.75,-,POS Purchase           ,FPOS MCDONALD'S #5483    FREDE
7/16/2021,-200,-,POS Purchase           ,CNB #016                 FREDE
7/16/2021,-29.79,-,POS Purchase           ,FPOS PETRO-CANADA        LAKE 
7/16/2021,-6.92,-,POS Purchase           ,FPOS TIM HORTONS #2598   WOODS
7/16/2021,-55.4,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
7/15/2021,612.55,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
7/12/2021,-57.55,-,POS Purchase           ,FPOS RED APPLE #54401    FLORE
7/9/2021,-55.03,-,POS Purchase           ,FPOS IRVING/FLORENCEVILLEFLORE
7/8/2021,612.55,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
7/5/2021,149.75,-,Provincial Payment     ,CANADA                       
7/5/2021,-54.4,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
7/5/2021,-23,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE
7/3/2021,-68.88,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
7/3/2021,-91.88,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
7/2/2021,-477.5,40,Cheque                 ,
7/2/2021,-8.04,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE
6/30/2021,-609.77,-,Miscellaneous Payment  ,NSLSC                        
6/30/2021,-16.95,-,Service Charge         ,MONTHLY FEES
6/30/2021,-200,-,POS Purchase           ,CNB #016                 FREDE
6/30/2021,-26.53,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/30/2021,609.44,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
6/25/2021,-53.06,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/24/2021,-6.46,-,Miscellaneous Payment  ,PAYPAL                       
6/24/2021,-20,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/24/2021,-13.2,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE
6/24/2021,-50.03,-,POS Purchase           ,FPOS GRAB N GO WATERVILLEWATER
6/24/2021,629.23,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
6/23/2021,-24.95,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/23/2021,-79.9,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/23/2021,-34.49,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/23/2021,-34.49,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/23/2021,-39.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/22/2021,-149.44,-,POS Purchase           ,"OPOS DRI*FITBIT, INC.    order"
6/22/2021,-200,-,POS Purchase           ,CNB #018                 PERTH
6/22/2021,-52.79,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/22/2021,-31.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/21/2021,-773.99,-,POS Purchase           ,KEITH'S SERVICE CENTRE   BATH 
6/21/2021,-24.62,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/21/2021,-92.44,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/21/2021,-36.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/19/2021,-1.5,-,POS Purchase           ,FPOS RILEY BROOK HOLDINGSRILEY
6/19/2021,-22.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/19/2021,-52.89,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/19/2021,-21.53,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/18/2021,-52.78,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/17/2021,629.23,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
6/14/2021,-119.99,-,POS Purchase           ,CNB #018                 PERTH
6/14/2021,-26.57,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/14/2021,-8.95,-,POS Purchase           ,FPOS BK #09448           WATER
6/14/2021,-13.78,-,POS Purchase           ,FPOS DAIRY QUEEN #12176  FREDE
6/14/2021,36.99,-,Correction             ,5.81158E+14
6/11/2021,-100,-,POS Purchase           ,FPOS CNB #016            FREDE
6/11/2021,-20.29,-,POS Purchase           ,FPOS PETRO-CANADA        LAKE 
6/11/2021,-2.02,-,POS Purchase           ,FPOS TIM HORTONS #2598   WOODS
6/11/2021,-50.77,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/10/2021,629.23,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
6/9/2021,-32.53,-,POS Purchase           ,OPOS AMZN Mktp CA*2X1K43AWWW.A
6/9/2021,69.52,-,Correction             ,OPOS AMZN Mktp CA*2X1K43AWWW.A
6/7/2021,-103.49,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/7/2021,500,-,DEPOSIT                ,FREE INTERAC E-TRANSFER
6/7/2021,500,-,DEPOSIT                ,FREE INTERAC E-TRANSFER
6/7/2021,-90.85,-,POS Purchase           ,OPOS Amazon.ca Prime Membamazo
6/7/2021,-36.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/5/2021,-24.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/5/2021,24.99,-,Correction             ,OPOS AMAZON.COM   PMTS - WWW.A
6/5/2021,-15.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/5/2021,189,-,Correction             ,OPOS AMAZON.COM   PMTS - WWW.A
6/5/2021,-69.52,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/4/2021,-52.5,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
6/3/2021,629.23,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
6/2/2021,-24.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-477.5,39,Cheque                 ,
6/1/2021,-189,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-123.45,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-22.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-37.45,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-62.8,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
6/1/2021,-34.5,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
5/31/2021,-643.8,-,Miscellaneous Payment  ,NSLSC                        
5/31/2021,-16.95,-,Service Charge         ,MONTHLY FEES
5/28/2021,-51.51,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
5/27/2021,-100,-,POS Purchase           ,FPOS CNB #018            PERTH
5/27/2021,629.23,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
5/25/2021,-6.3,-,Miscellaneous Payment  ,PAYPAL                       
5/21/2021,-700,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
5/21/2021,-73.39,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
5/20/2021,731.07,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
5/18/2021,-149.99,-,POS Purchase           ,CNB #018                 PERTH
5/18/2021,-79.99,-,POS Purchase           ,FPOS CNB #018            PERTH
5/17/2021,-12.52,-,POS Purchase           ,FPOS DAIRY QUEEN #12192  WOODS
5/17/2021,-30,-,POS Purchase           ,MURRAY'S IRVING          BEARD
5/17/2021,-2.02,-,POS Purchase           ,FPOS TIM HORTONS #2598   WOODS
5/17/2021,-8.37,-,POS Purchase           ,MCDONALD'S #1808         FREDE
5/15/2021,-50,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
5/14/2021,-31.81,-,POS Purchase           ,OPOS Greco Online        90289
5/14/2021,-29.79,-,POS Purchase           ,FPOS PETRO-CANADA        LAKE 
5/14/2021,-58.27,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
5/13/2021,-21.15,-,POS Purchase           ,OPOS 16.99 WNBA LIVEACCESPLAIN
5/13/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
5/11/2021,-18.36,-,POS Purchase           ,FPOS MARK'S THE SPOT     BEECH
5/7/2021,-49.6,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
5/6/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
5/3/2021,-477.5,38,Cheque                 ,
4/30/2021,-16.95,-,Service Charge         ,MONTHLY FEES
4/30/2021,-60,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
4/30/2021,-100,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
4/29/2021,-9.99,-,POS Purchase           ,FPOS TIM HORTONS #2853   BRIST
4/29/2021,-2000,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
4/29/2021,3000,-,DEPOSIT                ,INTERAC E-TRANSFER RTN
4/29/2021,-3000,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
4/29/2021,-22.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
4/29/2021,-22.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
4/29/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
4/27/2021,-20,-,Miscellaneous Payment  ,PAYPAL                       
4/26/2021,-6.53,-,Miscellaneous Payment  ,PAYPAL                       
4/23/2021,-6.08,-,POS Purchase           ,FPOS SMITH DRUGS         FLORE
4/23/2021,-75.01,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
4/22/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
4/21/2021,25,-,Credit Memo            ,ADJUSTMENT OTHER
4/21/2021,-32.55,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
4/20/2021,-15.17,-,Miscellaneous Payment  ,PAYPAL                       
4/19/2021,-16.53,-,POS Purchase           ,FPOS DAIRY QUEEN #12192  WOODS
4/19/2021,-161.51,-,POS Purchase           ,WALMART STORE #1043      WOODS
4/19/2021,-15.26,-,POS Purchase           ,FPOS WENDY'S RESTAURANT QFREDE
4/16/2021,-55,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
4/15/2021,-11.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
4/15/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
4/13/2021,-30.66,-,Miscellaneous Payment  ,PAYPAL                       
4/10/2021,-10.32,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
4/9/2021,-55.01,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
4/8/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
4/1/2021,-477.5,37,Cheque                 ,
4/1/2021,-55,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
4/1/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
4/1/2021,149,-,Provincial Payment     ,CANADA                       
3/31/2021,-49.99,-,POS Purchase,FPOS CNB #018            PERTH ANDOVNBCA
3/31/2021,-110.99,-,POS Purchase,CNB #018                 PERTH ANDOVNBCA
3/26/2021,-55.01,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
3/25/2021,-28.99,-,POS Purchase           ,OPOS AMZN Mktp CA*K09SB8DWWW.A
3/25/2021,141.97,-,Correction             ,OPOS AMZN Mktp CA*K09SB8DWWW.A
3/25/2021,-112.98,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/25/2021,-141.97,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/25/2021,-28.97,-,POS Purchase           ,OPOS Amazon.ca           AMAZO
3/25/2021,-180.43,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/25/2021,-33.51,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/25/2021,-28.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/25/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
3/24/2021,-6.53,-,Miscellaneous Payment  ,PAYPAL                       
3/22/2021,-59.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/20/2021,-93.46,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/20/2021,-47.96,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/19/2021,-250,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
3/19/2021,-70,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
3/18/2021,-29.89,-,Miscellaneous Payment  ,PAYPAL                       
3/18/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
3/17/2021,-25,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
3/15/2021,-10.09,-,POS Purchase           ,FPOS MARK'S THE SPOT     BEECH
3/15/2021,-26.99,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
3/13/2021,-7.69,-,POS Purchase           ,FPOS Subway              Water
3/13/2021,-35,-,POS Purchase           ,FPOS WATERVILLE IRVING 15WATER
3/13/2021,-1.46,-,POS Purchase           ,FPOS DAIRY QUEEN #12192  WOODS
3/12/2021,-25.49,-,POS Purchase           ,FPOS PETRO-CANADA        LAKE 
3/12/2021,-55,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
3/11/2021,-11.61,-,POS Purchase           ,FPOS TIM HORTONS #2853   BRIST
3/11/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
3/5/2021,-10.98,-,POS Purchase           ,DINER DOWN UNDER         BATH 
3/4/2021,-4.38,-,POS Purchase           ,CENTREVILLE VALUFOODS    CENTR
3/4/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
3/3/2021,-79.42,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
3/2/2021,-5.07,-,Miscellaneous Payment  ,PAYPAL                       
3/2/2021,-10.54,-,POS Purchase           ,FPOS MARK'S THE SPOT     BEECH
3/1/2021,-477.5,36,Cheque                 ,
2/27/2021,-15.95,-,Service Charge         ,MONTHLY FEES
2/27/2021,-11.44,-,POS Purchase           ,OPOS AMZN Mktp CA        WWW.A
2/26/2021,-5.51,-,POS Purchase           ,FPOS SMITH DRUGS         FLORE
2/26/2021,-72.55,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
2/26/2021,-150,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
2/25/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
2/24/2021,-6.59,-,Miscellaneous Payment  ,PAYPAL                       
2/18/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
2/17/2021,-71.73,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
2/13/2021,-55.28,-,POS Purchase           ,TINA'S KITCHEN           HARTL
2/12/2021,-19.73,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
2/12/2021,-98.9,-,POS Purchase           ,FPOS WALMART STORE #3032 FREDE
2/12/2021,-175.93,-,POS Purchase           ,WALMART STORE #3032      FREDE
2/12/2021,-89.98,-,POS Purchase           ,CNB #016                 FREDE
2/12/2021,-60,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
2/11/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
2/9/2021,-89.99,-,Miscellaneous Payment  ,PAYPAL                       
2/5/2021,-5.74,-,POS Purchase           ,OPOS PrimeVideo.ca       www.a
2/5/2021,-65.43,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
2/4/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
2/1/2021,-477.5,35,Cheque                 ,
2/1/2021,-4.6,-,POS Purchase           ,FPOS GCDS625 BRISTOL     BRIST
1/30/2021,-15.95,-,Service Charge         ,MONTHLY FEES
1/29/2021,-60,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
1/28/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
1/26/2021,-6.64,-,Miscellaneous Payment  ,PAYPAL                       
1/25/2021,-85.99,-,POS Purchase           ,FPOS CNB #018            PERTH
1/22/2021,-55,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
1/21/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
1/18/2021,-41.41,-,POS Purchase           ,FPOS RAYNER'S AUTOMOTIVE FLORE
1/15/2021,-10.91,-,Miscellaneous Payment  ,PAYPAL                       
1/15/2021,-20.27,-,Miscellaneous Payment  ,PAYPAL                       
1/15/2021,-62.15,-,POS Purchase           ,FLORENCEVILLE IRVING     WEST 
1/14/2021,602.3,-,Payroll Deposit        ,BWS MANUFACTURING LTD        
1/13/2021,-50,-,WITHDRAWAL             ,FREE INTERAC E-TRANSFER
1/8/2021,-5.51,-,POS Purchase           ,FPOS SMITH DRUGS         FLORE
1/7/2021,-55.01,-,POS Purchase           ,FPOS FLORENCEVILLE IRVINGWEST 
1/5/2021,-50,-,POS Purchase           ,FPOS CNB #018            PERTH
1/5/2021,-251.75,-,POS Purchase           ,OPOS 191.88 CODECADEMY   +1844
