p, w, r, config,
4, 5, 4, 40,
4, 5, 3, 48,
4, 5, 2, 56,
4, 5, 1, 64,
4, 5, 0, 72,
4, 4, 8, 10,
4, 4, 7, 20,
4, 4, 6, 30,
4, 4, 5, 40,
4, 4, 4, 50,
4, 4, 3, 60,
4, 4, 2, 70,
4, 4, 1, 80,
4, 4, 0, 90,
4, 3, 8, 12,
4, 3, 7, 24,
4, 3, 6, 36,
4, 3, 5, 48,
4, 3, 4, 60,
4, 3, 3, 72,
4, 3, 2, 84,
4, 3, 1, 96,
4, 3, 0, 108,
4, 2, 8, 14,
4, 2, 7, 28,
4, 2, 6, 42,
4, 2, 5, 56,
4, 2, 4, 70,
4, 2, 3, 84,
4, 2, 2, 98,
4, 2, 1, 112,
4, 2, 0, 126,
4, 1, 8, 16,
4, 1, 7, 32,
4, 1, 6, 48,
4, 1, 5, 64,
4, 1, 4, 80,
4, 1, 3, 96,
4, 1, 2, 112,
4, 1, 1, 128,
4, 1, 0, 144,
4, 0, 8, 18,
4, 0, 7, 36,
4, 0, 6, 54,
4, 0, 5, 72,
4, 0, 4, 90,
4, 0, 3, 108,
4, 0, 2, 126,
4, 0, 1, 144,
4, 0, 0, 162,
3, 8, 8, 3,
3, 8, 7, 6,
3, 8, 6, 9,
3, 8, 5, 12,
3, 8, 4, 15,
3, 8, 3, 18,
3, 8, 2, 21,
3, 8, 1, 24,
3, 8, 0, 27,
3, 7, 8, 6,
3, 7, 7, 12,
3, 7, 6, 18,
3, 7, 5, 24,
3, 7, 4, 30,
3, 7, 3, 36,
3, 7, 2, 42,
3, 7, 1, 48,
3, 7, 0, 54,
3, 6, 8, 9,
3, 6, 7, 18,
3, 6, 6, 27,
3, 6, 5, 36,
3, 6, 4, 45,
3, 6, 3, 54,
3, 6, 2, 63,
3, 6, 1, 72,
3, 6, 0, 81,
3, 5, 8, 12,
3, 5, 7, 24,
3, 5, 6, 36,
3, 5, 5, 48,
3, 5, 4, 60,
3, 5, 3, 72,
3, 5, 2, 84,
3, 5, 1, 96,
3, 5, 0, 108,
3, 4, 8, 15,
3, 4, 7, 30,
3, 4, 6, 45,
3, 4, 5, 60,
3, 4, 4, 75,
3, 4, 3, 90,
3, 4, 2, 105,
3, 4, 1, 120,
3, 4, 0, 135,
3, 3, 8, 18,
3, 3, 7, 36,
3, 3, 6, 54,
3, 3, 5, 72,
3, 3, 4, 90,
3, 3, 3, 108,
3, 3, 2, 126,
3, 3, 1, 144,
3, 3, 0, 162,
3, 2, 8, 21,
3, 2, 7, 42,
3, 2, 6, 63,
3, 2, 5, 84,
3, 2, 4, 105,
3, 2, 3, 126,
3, 2, 2, 147,
3, 2, 1, 168,
3, 2, 0, 189,
3, 1, 8, 24,
3, 1, 7, 48,
3, 1, 6, 72,
3, 1, 5, 96,
3, 1, 4, 120,
3, 1, 3, 144,
3, 1, 2, 168,
3, 1, 1, 192,
3, 1, 0, 216,
3, 0, 8, 27,
3, 0, 7, 54,
3, 0, 6, 81,
3, 0, 5, 108,
3, 0, 4, 135,
3, 0, 3, 162,
3, 0, 2, 189,
3, 0, 1, 216,
3, 0, 0, 243,
2, 8, 8, 4,
2, 8, 7, 8,
2, 8, 6, 12,
2, 8, 5, 16,
2, 8, 4, 20,
2, 8, 3, 24,
2, 8, 2, 28,
2, 8, 1, 32,
2, 8, 0, 36,
2, 7, 8, 8,
2, 7, 7, 16,
2, 7, 6, 24,
2, 7, 5, 32,
2, 7, 4, 40,
2, 7, 3, 48,
2, 7, 2, 56,
2, 7, 1, 64,
2, 7, 0, 72,
2, 6, 8, 12,
2, 6, 7, 24,
2, 6, 6, 36,
2, 6, 5, 48,
2, 6, 4, 60,
2, 6, 3, 72,
2, 6, 2, 84,
2, 6, 1, 96,
2, 6, 0, 108,
2, 5, 8, 16,
2, 5, 7, 32,
2, 5, 6, 48,
2, 5, 5, 64,
2, 5, 4, 80,
2, 5, 3, 96,
2, 5, 2, 112,
2, 5, 1, 128,
2, 5, 0, 144,
2, 4, 8, 20,
2, 4, 7, 40,
2, 4, 6, 60,
2, 4, 5, 80,
2, 4, 4, 100,
2, 4, 3, 120,
2, 4, 2, 140,
2, 4, 1, 160,
2, 4, 0, 180,
2, 3, 8, 24,
2, 3, 7, 48,
2, 3, 6, 72,
2, 3, 5, 96,
2, 3, 4, 120,
2, 3, 3, 144,
2, 3, 2, 168,
2, 3, 1, 192,
2, 3, 0, 216,
2, 2, 8, 28,
2, 2, 7, 56,
2, 2, 6, 84,
2, 2, 5, 112,
2, 2, 4, 140,
2, 2, 3, 168,
2, 2, 2, 196,
2, 2, 1, 224,
2, 2, 0, 252,
2, 1, 8, 32,
2, 1, 7, 64,
2, 1, 6, 96,
2, 1, 5, 128,
2, 1, 4, 160,
2, 1, 3, 192,
2, 1, 2, 224,
2, 1, 1, 256,
2, 1, 0, 288,
2, 0, 8, 36,
2, 0, 7, 72,
2, 0, 6, 108,
2, 0, 5, 144,
2, 0, 4, 180,
2, 0, 3, 216,
2, 0, 2, 252,
2, 0, 1, 288,
2, 0, 0, 324,
1, 8, 8, 5,
1, 8, 7, 10,
1, 8, 6, 15,
1, 8, 5, 20,
1, 8, 4, 25,
1, 8, 3, 30,
1, 8, 2, 35,
1, 8, 1, 40,
1, 8, 0, 45,
1, 7, 8, 10,
1, 7, 7, 20,
1, 7, 6, 30,
1, 7, 5, 40,
1, 7, 4, 50,
1, 7, 3, 60,
1, 7, 2, 70,
1, 7, 1, 80,
1, 7, 0, 90,
1, 6, 8, 15,
1, 6, 7, 30,
1, 6, 6, 45,
1, 6, 5, 60,
1, 6, 4, 75,
1, 6, 3, 90,
1, 6, 2, 105,
1, 6, 1, 120,
1, 6, 0, 135,
1, 5, 8, 20,
1, 5, 7, 40,
1, 5, 6, 60,
1, 5, 5, 80,
1, 5, 4, 100,
1, 5, 3, 120,
1, 5, 2, 140,
1, 5, 1, 160,
1, 5, 0, 180,
1, 4, 8, 25,
1, 4, 7, 50,
1, 4, 6, 75,
1, 4, 5, 100,
1, 4, 4, 125,
1, 4, 3, 150,
1, 4, 2, 175,
1, 4, 1, 200,
1, 4, 0, 225,
1, 3, 8, 30,
1, 3, 7, 60,
1, 3, 6, 90,
1, 3, 5, 120,
1, 3, 4, 150,
1, 3, 3, 180,
1, 3, 2, 210,
1, 3, 1, 240,
1, 3, 0, 270,
1, 2, 8, 35,
1, 2, 7, 70,
1, 2, 6, 105,
1, 2, 5, 140,
1, 2, 4, 175,
1, 2, 3, 210,
1, 2, 2, 245,
1, 2, 1, 280,
1, 2, 0, 315,
1, 1, 8, 40,
1, 1, 7, 80,
1, 1, 6, 120,
1, 1, 5, 160,
1, 1, 4, 200,
1, 1, 3, 240,
1, 1, 2, 280,
1, 1, 1, 320,
1, 1, 0, 360,
1, 0, 8, 45,
1, 0, 7, 90,
1, 0, 6, 135,
1, 0, 5, 180,
1, 0, 4, 225,
1, 0, 3, 270,
1, 0, 2, 315,
1, 0, 1, 360,
1, 0, 0, 405,
0, 8, 8, 6,
0, 8, 7, 12,
0, 8, 6, 18,
0, 8, 5, 24,
0, 8, 4, 30,
0, 8, 3, 36,
0, 8, 2, 42,
0, 8, 1, 48,
0, 8, 0, 54,
0, 7, 8, 12,
0, 7, 7, 24,
0, 7, 6, 36,
0, 7, 5, 48,
0, 7, 4, 60,
0, 7, 3, 72,
0, 7, 2, 84,
0, 7, 1, 96,
0, 7, 0, 108,
0, 6, 8, 18,
0, 6, 7, 36,
0, 6, 6, 54,
0, 6, 5, 72,
0, 6, 4, 90,
0, 6, 3, 108,
0, 6, 2, 126,
0, 6, 1, 144,
0, 6, 0, 162,
0, 5, 8, 24,
0, 5, 7, 48,
0, 5, 6, 72,
0, 5, 5, 96,
0, 5, 4, 120,
0, 5, 3, 144,
0, 5, 2, 168,
0, 5, 1, 192,
0, 5, 0, 216,
0, 4, 8, 30,
0, 4, 7, 60,
0, 4, 6, 90,
0, 4, 5, 120,
0, 4, 4, 150,
0, 4, 3, 180,
0, 4, 2, 210,
0, 4, 1, 240,
0, 4, 0, 270,
0, 3, 8, 36,
0, 3, 7, 72,
0, 3, 6, 108,
0, 3, 5, 144,
0, 3, 4, 180,
0, 3, 3, 216,
0, 3, 2, 252,
0, 3, 1, 288,
0, 3, 0, 324,
0, 2, 8, 42,
0, 2, 7, 84,
0, 2, 6, 126,
0, 2, 5, 168,
0, 2, 4, 210,
0, 2, 3, 252,
0, 2, 2, 294,
0, 2, 1, 336,
0, 2, 0, 378,
0, 1, 8, 48,
0, 1, 7, 96,
0, 1, 6, 144,
0, 1, 5, 192,
0, 1, 4, 240,
0, 1, 3, 288,
0, 1, 2, 336,
0, 1, 1, 384,
0, 1, 0, 432,
0, 0, 8, 54,
0, 0, 7, 108,
0, 0, 6, 162,
0, 0, 5, 216,
0, 0, 4, 270,
0, 0, 3, 324,
0, 0, 2, 378,
0, 0, 1, 432,
0, 0, 0, 486
